order_id,city,order_time,delivery_time,order_status,payment_method,order_amount,delivery_fee,discount,final_amount,delivery_minutes,order_hour,order_day,order_month,is_weekend,is_peak_hour,sla_breach,weekday,order_segment,order_date
1,Hyderabad,2025-02-18 10:05:00,2025-02-18 10:28:00,Delivered,Cash on Delivery,1410.21,27.05,83.01,1354.25,23,10,Tuesday,February,False,True,False,Tuesday,Medium Value,2025-02-18
2,Delhi,2025-02-17 14:29:00,2025-02-17 15:00:00,Delivered,Cash on Delivery,1514.24,17.65,19.65,1512.24,31,14,Monday,February,False,True,True,Monday,High Value,2025-02-17
3,Pune,2025-01-27 05:02:00,2025-01-27 05:29:00,Delivered,Card,665.54,14.13,46.25,633.42,27,5,Monday,January,False,False,False,Monday,Medium Value,2025-01-27
4,Kolkata,2025-01-26 13:08:00,2025-01-26 13:38:00,Delivered,Cash on Delivery,992.7,17.67,99.01,911.36,30,13,Sunday,January,True,True,False,Sunday,Medium Value,2025-01-26
5,Ahmedabad,2025-04-20 08:04:00,2025-04-20 08:34:00,Delivered,UPI,766.43,33.26,42.39,757.3,30,8,Sunday,April,True,True,False,Sunday,Medium Value,2025-04-20
6,Pune,2025-02-15 08:09:00,2025-02-15 08:27:00,Delivered,Card,711.77,13.98,51.59,674.16,18,8,Saturday,February,True,True,False,Saturday,Medium Value,2025-02-15
7,Ahmedabad,2025-01-21 21:40:00,2025-01-21 21:57:00,Delivered,Card,1158.65,65.04,50.15,1173.54,17,21,Tuesday,January,False,True,False,Tuesday,Medium Value,2025-01-21
8,Ahmedabad,2025-01-21 20:41:00,2025-01-21 21:02:00,Delivered,Card,2179.56,14.48,190.84,2003.2,21,20,Tuesday,January,False,True,False,Tuesday,High Value,2025-01-21
9,Bangalore,2025-04-23 21:36:00,2025-04-23 22:08:00,Delivered,Wallet,2435.54,24.24,191.36,2268.42,32,21,Wednesday,April,False,True,True,Wednesday,High Value,2025-04-23
10,Pune,2025-02-16 10:37:00,2025-02-16 10:59:00,Delivered,UPI,531.54,63.76,104.81,490.49,22,10,Sunday,February,True,True,False,Sunday,Low Value,2025-02-16
11,Pune,2025-01-05 19:00:00,2025-01-05 19:22:00,Delivered,UPI,369.98,57.39,67.32,360.05,22,19,Sunday,January,True,True,False,Sunday,Low Value,2025-01-05
12,Bangalore,2025-01-17 20:02:00,2025-01-17 20:19:00,Delivered,Cash on Delivery,2479.49,31.05,528.7,1981.84,17,20,Friday,January,False,True,False,Friday,High Value,2025-01-17
13,Pune,2025-03-03 21:32:00,2025-03-03 21:57:00,Delivered,Wallet,675.42,24.38,69.88,629.92,25,21,Monday,March,False,True,False,Monday,Medium Value,2025-03-03
14,Pune,2025-04-13 04:06:00,2025-04-13 04:33:00,Delivered,Card,1666.64,32.48,201.51,1497.61,27,4,Sunday,April,True,False,False,Sunday,Medium Value,2025-04-13
15,Ahmedabad,2025-01-27 15:10:00,2025-01-27 15:38:00,Delivered,Card,344.42,57.44,83.76,318.1,28,15,Monday,January,False,False,False,Monday,Low Value,2025-01-27
16,Bangalore,2025-01-21 21:21:00,2025-01-21 21:57:00,Delivered,Wallet,2339.34,32.14,217.85,2153.63,36,21,Tuesday,January,False,True,True,Tuesday,High Value,2025-01-21
17,Mumbai,2025-04-20 20:07:00,2025-04-20 20:37:00,Delivered,Card,2116.51,18.59,331.26,1803.84,30,20,Sunday,April,True,True,False,Sunday,High Value,2025-04-20
18,Chennai,2025-03-24 09:21:00,2025-03-24 09:58:00,Delivered,Card,971.59,33.17,20.53,984.23,37,9,Monday,March,False,True,True,Monday,Medium Value,2025-03-24
19,Hyderabad,2025-02-17 20:49:00,2025-02-17 21:21:00,Delivered,Wallet,982.72,68.21,223.62,827.31,32,20,Monday,February,False,True,True,Monday,Medium Value,2025-02-17
20,Ahmedabad,2025-02-16 13:12:00,2025-02-16 13:26:00,Delivered,UPI,2267.33,59.75,178.75,2148.33,14,13,Sunday,February,True,True,False,Sunday,High Value,2025-02-16
21,Delhi,2025-04-11 19:48:00,,Cancelled,Wallet,990.05,26.76,103.76,913.05,28,19,Friday,April,False,True,False,Friday,Medium Value,2025-04-11
