transaction_id,user_id,merchant_id,amount,transaction_time,city,state,device_id,device_type,bank_name,merchant_category,payment_method,transaction_status,failure_reason,fraud_flag,hour_of_day,midnight_flag,high_value_flag,new_device_flag,velocity_flag,location_risk_flag,risk_score,risk_level
TXN0000000,U04603,M4675,938.54,2025-02-04 05:01:00,Jaipur,Rajasthan,DEV49085,iPhone,Axis,Travel,Debit Card,Success,,0,5,0,0,0,0,0,0,Low
TXN0000001,U02562,M1881,6020.24,2025-11-19 15:06:00,Delhi,Delhi,DEV54185,Android,PNB,Fashion,Wallet,Success,,0,15,0,0,0,0,1,15,Low
TXN0000002,U04821,M9955,2633.49,2025-11-23 19:36:00,Lucknow,Uttar Pradesh,DEV59628,Android,HDFC,Travel,Debit Card,Success,,0,19,0,0,0,0,0,0,Low
TXN0000003,U04210,M2955,1825.89,2025-07-12 09:55:00,Kolkata,West Bengal,DEV58630,Android,SBI,Pharmacy,Debit Card,Failed,UPI Server Down,0,9,0,0,0,0,0,0,Low
TXN0000004,U01269,M1654,339.25,2025-12-24 04:59:00,Bangalore,Karnataka,DEV51662,iPhone,ICICI,Grocery,Debit Card,Success,,0,4,1,0,1,0,0,50,Medium
TXN0000005,U04265,M2117,339.19,2025-03-08 22:51:00,Jaipur,Rajasthan,DEV99538,iPhone,HDFC,Pharmacy,Credit Card,Success,,0,22,0,0,0,0,0,0,Low
TXN0000006,U02956,M5809,119.68,2025-03-25 12:54:00,Hyderabad,Telangana,DEV62022,iPhone,Yes Bank,Utilities,UPI,Success,,0,12,0,0,0,0,0,0,Low
TXN0000007,U01998,M1653,4022.46,2025-07-06 20:14:00,Pune,Maharashtra,DEV77746,iPhone,Axis,Food Delivery,Credit Card,Success,,0,20,0,0,1,0,0,30,Low
TXN0000008,U04168,M8300,1838.16,2025-08-22 05:52:00,Ahmedabad,Gujarat,DEV96585,Android,SBI,Fashion,Wallet,Success,,0,5,0,0,0,0,0,0,Low
TXN0000009,U04408,M9736,2462.5,2025-06-05 05:30:00,Delhi,Delhi,DEV45269,iPhone,PNB,Food Delivery,Wallet,Success,,0,5,0,0,0,0,1,15,Low
TXN0000010,U03566,M2181,41.6,2025-01-28 14:06:00,Bangalore,Karnataka,DEV33329,Android,SBI,Utilities,Debit Card,Success,,0,14,0,0,1,0,0,30,Low
TXN0000011,U04711,M4729,7007.11,2025-10-22 12:14:00,Chennai,Tamil Nadu,DEV44619,iPhone,Axis,Pharmacy,Credit Card,Success,,0,12,0,0,0,0,0,0,Low
TXN0000012,U00049,M2036,3572.86,2025-03-19 06:51:00,Lucknow,Uttar Pradesh,DEV80284,iPhone,SBI,Food Delivery,Debit Card,Success,,0,6,0,0,0,0,0,0,Low
TXN0000013,U03586,M7249,477.38,2025-04-24 19:57:00,Kolkata,West Bengal,DEV63963,Android,Yes Bank,Grocery,Credit Card,Success,,0,19,0,0,0,0,0,0,Low
TXN0000014,U04471,M5832,401.36,2025-04-13 22:41:00,Bangalore,Karnataka,DEV85067,Android,ICICI,Electronics,UPI,Success,,0,22,0,0,1,0,0,30,Low
TXN0000015,U00698,M5992,405.22,2025-10-28 11:39:00,Hyderabad,Telangana,DEV59689,Android,PNB,Electronics,Wallet,Success,,0,11,0,0,0,0,0,0,Low
TXN0000016,U01592,M2877,725.51,2025-02-23 06:17:00,Bangalore,Karnataka,DEV45804,iPhone,PNB,Grocery,Credit Card,Success,,0,6,0,0,0,0,0,0,Low
TXN0000017,U04757,M8982,1487.86,2025-03-14 20:24:00,Pune,Maharashtra,DEV84572,iPhone,ICICI,Fuel,Wallet,Success,,0,20,0,0,0,0,0,0,Low
