order_id,city,category,order_amount,sla_minutes,cleaned_order_amount
8c3dde70-28fc-4c41-9902-15706a02cf6e,Mumbai,Frozen Food,704.69,10,704.69
425f3240-a76f-4383-ab8c-1851fe0146a0,Chennai,Frozen Food,714.61,15,714.61
75143b83-893f-401e-bc47-f878c48d97ed,Chennai,Household,574.73,10,574.73
7b092dfb-6b7e-4e8c-869f-03c097f6b6de,Ahmedabad,Dairy,646.72,15,646.72
47d99e07-0eda-43a7-877d-f74baba73b48,Chennai,Snacks,240.67,15,240.67
50d34062-57d3-472b-bffc-187605e0727a,Bangalore,Snacks,1033.44,15,1033.44
93be2fc9-2600-4d42-a734-6dfaf6da2584,Pune,Fruits,1089.04,10,1089.04
fa3c5793-32d8-482d-93fe-9d0e0e19a865,Chennai,Personal Care,955.55,15,955.55
60112e86-9a83-40a9-b867-1407b3dc5dee,Bangalore,Personal Care,544.72,10,544.72
777c62ed-316f-4396-a38b-014ba4a07bb4,Kolkata,Frozen Food,597.83,10,597.83
881bb200-1077-433e-8fc1-9bedc6ac7592,Kolkata,Dairy,943.68,25,943.68
f5aa5183-e2bd-4234-a423-169e80253e58,Hyderabad,Beverages,381.45,10,381.45
4af221de-9bab-4954-b0fe-f7594caf90d1,Ahmedabad,Beverages,189.72,25,189.72
dc1190fc-5c37-4608-9446-54ea2563333e,Mumbai,Fruits,945.35,25,945.35
281f03ce-61cd-4865-b1af-77703e1673a6,Ahmedabad,Dairy,687.21,10,687.21
fd98afb8-2c69-4fc4-891e-b54756ad49cd,Kolkata,Dairy,923.33,15,923.33
e6c5c72a-baf5-4cea-b336-1026d9c128ec,Hyderabad,Beverages,215.53,25,215.53
795738d6-c823-4548-a998-612cc0b67bc0,Hyderabad,Fruits,839.2,15,839.2
cb5afdf3-321e-458e-8b62-380d8910fe85,Chennai,Frozen Food,973.2,25,973.2
9d63a279-adc0-421c-bc87-47f8c8ab4507,Delhi,Fruits,531.92,15,531.92
1dca3f2d-91e9-4fde-8ee1-99ed8cb71037,Chennai,Household,873.28,10,873.28
e997dfb2-7994-4aea-9dfe-bb08fb99e805,Mumbai,Beverages,1068.73,15,1068.73
a24e0994-623d-43f1-9306-e65e3947401e,Mumbai,Dairy,1058.85,10,1058.85
5491f58e-51dd-46e9-a137-83a6cea0112f,Kolkata,Frozen Food,670.68,15,670.68
d959b097-6c25-43ba-9cdc-a7d02fc67d6a,Ahmedabad,Personal Care,871.58,25,871.58
f164d444-d3c4-4df3-b197-512148673657,Delhi,Beverages,225.21,15,225.21
4472ed85-6bec-449e-b382-5ac7a7022d02,Bangalore,Fruits,1178.2,15,1178.2
11a8d31e-cf42-4480-b88a-c4ba865aae78,Kolkata,Fruits,931.53,25,931.53
08a802f3-2d81-4542-9a0f-a0ecb1d9bd45,Bangalore,Fruits,640.31,10,640.31
4db186a8-4d2d-4411-8bfc-919e5bfa38d3,Hyderabad,Household,408.72,25,408.72
b017dee0-e362-41e3-865d-ff861c1bfd12,Pune,Fruits,1039.03,10,1039.03
cc76eff8-ce1f-4c65-b2ff-57858402ba07,Pune,Dairy,787.58,15,787.58
969bd73e-0575-470e-bc89-79b8ef2dc6d3,Kolkata,Fruits,1183.48,15,1183.48
bc133c82-a959-40cd-9170-bac2466331f1,Ahmedabad,Beverages,819.85,10,819.85
fa697521-4162-4a47-a80e-27e71b063b15,Delhi,Dairy,425.62,25,425.62
7d47b708-067a-4d1d-8c1d-62d9528b1618,Hyderabad,Dairy,699.16,10,699.16
6658ec90-9418-4880-90d6-4f42846118ec,Hyderabad,Personal Care,1110.27,15,1110.27
851d8954-f019-4fbd-802f-022f124e3f5b,Kolkata,Personal Care,1074.52,15,1074.52
0cc7811f-ee0f-4659-971a-50a6bb9f7978,Hyderabad,Personal Care,961.1,25,961.1
a3d56a35-6f08-4164-8e41-6ea6db12badd,Hyderabad,Personal Care,310.61,10,310.61
95a73b35-ed4f-42f0-9ac7-878db86ffe79,Bangalore,Household,330.36,15,330.36
